table_name,stage_created,purpose,grain,primary_or_unique_key,row_count_expected,row_count_observed,main_inputs,main_outputs,retention_role
analytical_cohort_exclusion_audit,9,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",practice_code_standardised,63,63,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Validation/provenance evidence
annual_appointment_features,9,"Annual GPAD totals, rates, shares, booking bands and month-to-month change.",Practice code,practice_code_standardised,6184,6184,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Intermediate analytical table
annual_feature_internal_validation,9,Materialised validation or audit evidence defined by the creating SQL stage.,Validation test,check_name,Derived; see creating SQL and validation rule,10,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Validation/provenance evidence
annual_online_consultation_features,9,"Annual OCS totals, rates, shares and month-to-month change.",Practice code,practice_code_standardised,6210,6210,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Intermediate analytical table
annual_population_denominator_audit,9,Annual denominator completeness and exposure audit.,Practice code,practice_code_standardised,6210,6210,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Validation/provenance evidence
appointment_activity_practice_month,6,GPAD counts and parallel breakdowns aggregated to practice-month grain.,Practice code x reporting month,practice_code_standardised + reporting_month,73833,73833,standardised_appointment_activity,appointment_activity_practice_month,Intermediate analytical table
appointment_mapping_reference,2,Supporting object defined by the complete SQL stage.,Documented in creating SQL,View; inherited from query,Derived; see creating SQL and validation rule,30954,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Intermediate analytical table
candidate_annual_practice_features,9,Joined annual source blocks before final eligibility filters.,Practice code,practice_code_standardised,Derived; see creating SQL and validation rule,6130,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Intermediate analytical table
eligible_annual_practice_features,9,Complete wider annual feature/lineage table for final practices.,Practice code,practice_code_standardised,6067,6067,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Intermediate analytical table
eligible_practices_before_activity_total_rule,9,Supporting object defined by the complete SQL stage.,Documented in creating SQL,practice_code_standardised,6130,6130,integrated_practice_month_panel; complete source-specific practice-month series,annual feature tables; candidate/eligible features; exclusion and eligibility registers,Intermediate analytical table
export_metadata,12,Supporting object defined by the complete SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,6,primary_practice_access_clustering_matrix; pipeline_validation_results,primary_practice_access_clustering_matrix_ordered; modelling_output_fingerprint; export_metadata,Validation/provenance evidence
feature_missingness_audit,11,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,26,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
feature_range_summary,11,Report feature ranges and invalid-range counts.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,13,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
identifier_reference_coverage,4,Report temporal or identifier coverage.,Documented in creating SQL,None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,6210,standardised_online_consultation_activity; standardised_practice_mapping_reference,registered_population_by_practice_month; denominator and identifier-reference audits,Intermediate analytical table
integrated_practice_month_panel,8,Coverage-controlled OCS-GPAD-denominator practice-month panel.,Practice code x reporting month,practice_code_standardised + reporting_month,73833,73833,three unique practice-month blocks; practice_month_join_cardinality_audit,integrated_practice_month_panel,Intermediate analytical table
modelling_output_fingerprint,12,One canonical 17-significant-digit fingerprint line per practice.,Practice code,practice_code_standardised,6067,6067,primary_practice_access_clustering_matrix; pipeline_validation_results,primary_practice_access_clustering_matrix_ordered; modelling_output_fingerprint; export_metadata,Validation/provenance evidence
natural_key_duplicate_audit,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,2,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
numeric_conversion_audit,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,2,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
online_consultation_practice_month,5,OCS counts aggregated independently to practice-month grain.,Practice code x reporting month,practice_code_standardised + reporting_month,74195,74195,standardised_online_consultation_activity,online_consultation_practice_month,Intermediate analytical table
pipeline_environment,1,Supporting object defined by the complete SQL stage.,Documented in creating SQL,property_name,Derived; see creating SQL and validation rule,7,input_manifest.csv; empty SQLite database,21 raw source tables,Intermediate analytical table
pipeline_validation_results,11,Thirty-six substantive expected-versus-observed release tests.,"Named validation, audit or metadata record",validation_order,36,36,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
practice_eligibility_register,11,Supporting object defined by the complete SQL stage.,Practice code,None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,6210,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
practice_month_join_cardinality_audit,7,Materialised validation or audit evidence defined by the creating SQL stage.,Audit summary or practice-month exception,None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,1,online_consultation_practice_month; appointment_activity_practice_month; registered_population_by_practice_month,practice_month_join_cardinality_audit,Validation/provenance evidence
primary_practice_access_clustering_matrix,10,Identifier plus the 13 validated modelling features.,Practice code,practice_code_standardised,6067,6067,eligible_annual_practice_features,primary_practice_access_clustering_matrix,Final analytical output
primary_practice_access_clustering_matrix_ordered,12,Deterministically ordered final matrix.,Practice code,practice_code_standardised,6067,6067,primary_practice_access_clustering_matrix; pipeline_validation_results,primary_practice_access_clustering_matrix_ordered; modelling_output_fingerprint; export_metadata,Final analytical output
raw_appointment_activity_all,2,Text-preserving staging table for one frozen manifest input.,Source detail row,View; inherited from query,Derived; see creating SQL and validation rule,12305536,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Raw staging
raw_gpad_apr_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,999442,999442,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_aug_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,974975,974975,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_dec_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1027245,1027245,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_feb_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1015913,1015913,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_jan_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1047297,1047297,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_jul_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1028563,1028563,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_jun_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1003669,1003669,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_apr_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6181,6181,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_dec_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6186,6186,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_feb_26,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6182,6182,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_jun_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6215,6215,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mapping_sep_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,6190,6190,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mar_26_london_east_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,384919,384919,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_mar_26_midlands_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,671155,671155,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_may_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,991897,991897,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_nov_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1038177,1038177,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_oct_25_london_east_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,393770,393770,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_oct_25_midlands_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,696049,696049,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_gpad_sep_25,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,1032465,1032465,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_ocs_north,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,532746,532746,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_ocs_south,1,Text-preserving staging table for one frozen manifest input.,Source detail row,None declared; uniqueness audited separately,525699,525699,input_manifest.csv; empty SQLite database,21 raw source tables,Raw staging
raw_online_consultation_activity_all,2,Text-preserving staging table for one frozen manifest input.,Source detail row,View; inherited from query,Derived; see creating SQL and validation rule,1058445,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Raw staging
raw_source_row_count_validation,3,Materialised validation or audit evidence defined by the creating SQL stage.,Source detail row,raw_table,Derived; see creating SQL and validation rule,21,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
registered_population_by_practice_month,4,One month-matched registered-list denominator per practice-month.,Practice code x reporting month,practice_code_standardised + reporting_month,74195,74195,standardised_online_consultation_activity; standardised_practice_mapping_reference,registered_population_by_practice_month; denominator and identifier-reference audits,Validation/provenance evidence
registered_population_conflict_audit,4,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,1,standardised_online_consultation_activity; standardised_practice_mapping_reference,registered_population_by_practice_month; denominator and identifier-reference audits,Validation/provenance evidence
source_detail_duplicate_audit,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,0,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
source_month_validation,3,Materialised validation or audit evidence defined by the creating SQL stage.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,24,standardised_online_consultation_activity; standardised_appointment_activity,raw/source/month/numeric/duplicate validation tables,Validation/provenance evidence
source_reconciliation_summary,11,Reconcile totals within the same source or category family.,"Named validation, audit or metadata record",None declared; uniqueness audited separately,Derived; see creating SQL and validation rule,4,"raw, intermediate, annual and final tables","pipeline_validation_results; reconciliation, missingness and range summaries",Validation/provenance evidence
standardised_appointment_activity,2,"Validated, standardised GPAD appointment-detail evidence.",Source detail row,None declared; uniqueness audited separately,12305536,12305536,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Intermediate analytical table
standardised_online_consultation_activity,2,"Validated, standardised OCS detail retaining source provenance.",Source detail row,None declared; uniqueness audited separately,667755,667755,"21 raw OCS, GPAD and mapping tables",standardised_online_consultation_activity; standardised_appointment_activity; standardised_practice_mapping_reference,Intermediate analytical table
